10000, 2.130000
11000, 1.800000
12000, 1.990000
13000, 2.220000
14000, 2.430000
15000, 2.510000
16000, 2.760000
17000, 2.910000
18000, 3.100000
19000, 3.330000
20000, 3.460000
21000, 3.670000
22000, 3.890000
23000, 4.060000
24000, 4.280000
25000, 4.420000
26000, 4.670000
27000, 4.850000
28000, 5.070000
29000, 5.210000
30000, 5.430000
31000, 5.690000
32000, 5.890000
33000, 6.060000
34000, 6.260000
35000, 6.510000
36000, 6.620000
37000, 6.870000
38000, 7.120000
39000, 7.350000
40000, 7.470000
41000, 7.670000
42000, 7.900000
43000, 8.180000
44000, 8.330000
45000, 8.520000
46000, 8.760000
47000, 8.990000
48000, 9.170000
49000, 9.500000
50000, 9.590000
51000, 9.880000
52000, 10.050000
53000, 10.300000
54000, 10.660000
55000, 10.710000
56000, 11.000000
57000, 11.240000
58000, 11.380000
59000, 11.600000
