1000, 0.580000
1100, 0.450000
1200, 0.470000
1300, 0.610000
1400, 0.690000
1500, 0.780000
1600, 0.970000
1700, 1.060000
1800, 1.220000
1900, 1.370000
2000, 1.570000
2100, 1.750000
2200, 2.030000
2300, 2.130000
2400, 2.370000
2500, 2.620000
2600, 2.850000
2700, 3.070000
2800, 3.370000
2900, 3.650000
3000, 3.830000
3100, 4.260000
3200, 4.510000
3300, 4.940000
3400, 5.170000
3500, 5.570000
3600, 5.960000
3700, 6.300000
3800, 6.660000
3900, 7.070000
4000, 7.440000
4100, 7.870000
4200, 8.340000
4300, 8.730000
4400, 9.280000
4500, 9.820000
4600, 10.190000
4700, 10.800000
4800, 11.200000
4900, 11.560000
